registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type
2019,1197,3,1,40000,1,4,78,5,21.63,7
2017,1197,3,0,80000,2,4,78,5,21.63,7
2014,1197,3,1,60000,2,4,78,5,17.92,7
2016,1498,3,1,70000,2,1,108,5,21.63,19
2014,1199,3,1,80000,5,1,78,5,21.63,7
2019,1497,3,1,70000,1,1,118,5,17.3,16
2014,1248,3,1,80000,4,1,78,5,21.63,7
2019,1197,3,1,33000,2,4,81,5,20.7,7
2019,1197,3,1,49711,1,1,78,5,21.63,7
2017,1396,0,1,80000,1,1,88,5,21.63,21
2019,1498,4,1,80000,1,1,98,5,21.63,21
2019,1199,3,1,33000,1,4,88,5,17.0,21
2018,1497,3,1,34139,2,1,113,5,21.63,21
2017,1197,3,1,64302,2,4,81,5,18.6,7
2014,1197,4,1,77724,2,0,78,5,17.0,7
2019,1197,3,1,42649,1,0,78,5,21.63,7
2017,1197,4,0,33000,1,4,81,5,18.9,7
2016,1197,3,1,33000,1,4,78,5,20.51,7
2018,1198,4,1,49355,1,4,108,5,17.0,21
2014,1248,3,1,80000,4,1,78,5,21.63,7
2018,1248,3,1,80000,1,1,88,5,21.63,21
2014,1405,3,1,80000,1,1,78,5,19.61,19
2014,1405,3,1,80000,1,1,78,5,19.61,19
2019,1197,3,1,33000,1,4,88,5,21.63,7
2014,1405,3,1,80000,4,1,78,5,17.0,7
2014,1498,3,1,80000,2,1,89,5,21.63,21
2016,1498,3,0,80000,1,1,118,5,17.0,21
2019,1199,3,1,33000,1,4,118,5,17.57,21
2015,1197,3,0,33000,1,4,78,5,21.63,7
2016,1248,4,1,80000,2,1,88,5,21.63,21
2018,1498,4,1,80000,2,1,98,5,21.63,7
2015,1248,4,1,67933,2,1,78,5,21.63,19
2018,1498,4,0,33000,1,1,118,5,17.0,21
2019,1197,3,1,33000,1,4,81,5,18.9,7
2019,1197,3,0,80000,1,4,78,5,21.63,7
2019,1197,4,1,33000,1,4,88,5,21.63,7
2019,1197,3,1,42299,2,4,81,5,20.7,7
2018,1197,3,1,38933,1,4,78,5,21.63,7
2019,1462,3,1,39300,1,4,103,5,18.55,21
2014,1405,3,1,80000,2,1,78,5,17.0,19
2018,1197,3,1,60000,1,4,78,5,20.51,7
2015,1461,3,1,70000,2,1,83,5,20.45,21
2015,1461,3,1,70000,2,1,83,5,20.45,21
2015,1461,3,1,70000,2,1,83,5,20.45,21
2019,1197,3,1,40000,1,4,81,5,21.01,7
2015,1461,3,1,70000,2,1,83,5,20.45,21
2016,1248,3,0,80000,1,1,78,5,21.63,19
2019,1197,3,1,33000,1,4,81,5,18.9,7
2018,1498,3,1,56598,1,1,88,5,20.14,7
2019,1197,0,1,33000,2,4,81,5,21.01,7
2019,1197,3,1,80000,1,0,78,5,21.63,7
2019,1197,3,1,33000,1,0,78,5,21.63,7
2017,1248,3,0,60579,1,1,78,5,21.63,7
2019,1197,3,1,80000,1,4,81,5,21.0,7
2016,1498,4,1,80000,1,1,118,5,19.33,19
2016,1197,3,1,64154,1,4,78,5,20.51,7
2017,1197,0,1,33000,1,4,81,5,18.6,7
2015,1497,3,1,80000,2,4,117,5,17.4,19
2016,1248,3,1,70000,1,1,88,5,21.63,19
2014,1197,3,1,33000,1,4,78,5,18.0,7
2019,1197,3,1,50000,1,4,118,5,18.27,21
2019,1197,3,1,33000,1,4,78,5,17.0,14
2014,1197,3,1,40000,2,4,78,5,19.0,7
2016,1498,3,1,80000,2,1,118,5,17.0,21
2015,1498,3,1,80000,1,1,118,5,17.0,21
2015,1498,3,1,80000,1,1,103,5,21.14,19
2014,1197,3,1,51156,1,4,78,5,21.63,7
2019,1497,4,1,38693,2,4,117,5,17.4,19
2017,1197,0,0,33000,1,4,83,5,21.4,7
2017,1498,3,1,63510,1,1,105,5,17.0,21
2015,1197,4,1,80000,1,4,78,5,20.51,7
2018,1364,3,1,33000,1,1,78,5,21.63,7
2018,1199,3,1,38017,1,4,84,5,21.63,7
2018,1497,3,1,48978,1,4,117,5,17.4,19
2018,1498,0,1,35083,2,1,105,5,17.0,21
2019,1197,3,1,56907,1,4,88,5,21.63,7
2018,1197,3,0,67778,1,4,81,5,21.21,19
2015,1498,3,1,80000,2,1,118,5,17.0,21
2019,1498,3,1,50000,1,1,118,5,17.1,21
2014,1396,3,1,80000,2,1,78,5,21.63,19
2014,1198,3,1,80000,2,4,86,5,18.0,19
2019,1498,3,1,80000,3,1,118,5,17.0,21
2019,1199,3,1,50000,2,4,84,5,19.01,7
2019,1462,3,1,70000,1,4,103,5,20.65,19
2019,1498,3,0,80000,1,1,118,5,17.0,21
2019,1197,3,0,33000,2,4,78,5,21.63,7
2018,1498,0,1,80000,1,1,108,5,21.13,19
2017,1248,0,1,80000,1,1,78,5,21.63,7
2015,1364,3,1,61959,2,1,78,5,21.63,19
2019,1197,3,0,33000,1,4,118,5,20.28,7
2019,1248,0,1,54264,1,1,88,5,21.63,21
2015,1197,4,1,40071,2,4,82,5,18.9,7
2019,1199,3,0,37153,1,4,88,5,18.1,19
2019,1462,0,1,80000,1,4,103,5,21.56,19
2019,1197,3,1,33000,2,4,88,5,21.63,7
2016,1198,3,1,80000,2,4,78,5,17.0,19
2017,1248,3,1,80000,1,1,88,5,21.63,21
2014,1498,3,0,80000,2,1,118,5,18.88,19
2014,1498,3,0,80000,1,1,118,5,18.88,19
2019,1462,3,1,40000,1,4,103,5,17.03,21
2014,1498,3,1,80000,1,1,118,5,17.0,21
2014,1197,3,1,80000,2,4,78,5,19.7,7
2018,1498,3,1,70000,1,1,97,5,21.63,19
2018,1197,3,1,73914,1,4,81,5,18.9,7
2019,1199,3,1,44321,1,0,78,5,21.63,19
2015,1248,3,1,60743,2,1,88,5,21.63,21
2019,1197,3,1,36430,1,0,78,5,21.63,7
2017,1497,4,0,63157,2,4,117,5,18.0,19
2017,1248,3,1,73848,1,1,78,5,21.63,7
2019,1197,3,1,33000,2,4,81,5,21.21,19
2019,1197,4,1,33000,1,4,78,5,21.63,7
2017,1197,4,1,57138,1,4,78,5,20.51,7
2019,1498,3,1,52076,1,4,118,5,17.0,21
2016,1197,3,1,53383,2,4,88,5,21.63,19
2017,1198,4,1,77551,1,1,78,5,21.63,21
2014,1248,3,1,80000,1,1,88,5,21.5,19
2019,1248,3,1,80000,1,1,88,5,21.63,21
2018,1498,3,0,80000,1,1,118,5,17.0,21
2016,1498,3,1,80000,2,1,118,5,17.0,21
2014,1498,3,1,80000,1,1,118,5,17.0,21
2019,1197,3,1,40000,1,0,78,5,21.63,19
2019,1248,3,1,80000,1,1,88,5,21.63,21
2019,1248,3,1,80000,1,1,88,5,21.63,21
2018,1498,3,1,80000,1,1,98,5,21.63,21
2017,1197,3,1,42955,1,4,88,5,21.63,7
